"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"gastil",30,85,2.44468952627743,1.2285024955456,2.27777767181396,2.359601435454,1.64733323514462,1,4.88888883590698,3.88888883590698,0.386466596361803,-1.16274125966987,0.133249804395034
"cgexp",31,82,28.8179395373275,10.4880398598628,28.9029102325439,28.499651966673,13.0354091697693,9.74306392669678,51.1783256530762,41.4352617263794,0.169918949312487,-0.989755435301057,1.15821024725847
"cgrev",32,78,26.4884288738935,10.1202683838237,24.1590414047241,26.0510572493076,10.9841230510712,8.92333889007568,50.8487358093262,41.9253969192505,0.342688150966694,-0.835665937537157,1.14589474703833
"ssw",33,71,8.14773365939167,6.67350092554201,7.16992855072021,7.65146290942242,8.59794013502598,0.129252642393112,22.384708404541,22.2554557621479,0.405787134429573,-1.15507040679341,0.791998849437296
"rgdph",34,85,6688.63351404527,5495.17092040396,4400.02978515625,6130.4548198313,4371.13318308105,530.222534179688,20782.814453125,20252.5919189453,0.767526047622182,-0.705012918865207,596.034971777498
"trade",35,85,78.7658994113698,47.3386057586628,68.4535903930664,73.501877936764,34.3826174423218,17.5622100830078,343.386566162109,325.824356079102,2.37245505283521,9.84765200266996,5.1345927098618
"prop1564",36,84,62.0683432533627,5.76357573451113,63.9359321594238,62.4941660937141,5.3098711807251,49.0480422973633,71.7031936645508,22.6551513671875,-0.599485320360189,-0.870738055056035,0.62885766850019
"prop65",37,84,8.44709334770838,4.88506525459947,6.46884393692017,8.25834473091013,5.68283028481007,2.29585218429565,17.4300098419189,15.1341576576233,0.230048515966521,-1.59902922731766,0.533004316761924
"federal",38,83,0.156626506024096,0.365657700483675,0,0.0746268656716418,0,0,1,1,1.85548650270061,1.46086466879035,0.0401361469031224
"eduger",39,82,88.580434240946,17.6982754852694,93.4845237731934,90.5514936736136,14.3318018852234,40.0499992370605,117.114288330078,77.0642890930176,-0.939492599154057,0.588084805235836,1.95444757073135
"spropn",40,77,0.126200483652291,0.245037026401651,0,0.0694897445066581,0,0,1,1,2.22145229930331,4.32990549114785,0.0279245607826877
"yearele",41,81,1965.54715229552,36.8523657520622,1981,1972.61880258413,16.3086,1800,1994,194,-2.12881404945082,5.16176283076485,4.09470730578469
"yearreg",42,81,1961.48148148148,40.1615833574546,1978,1969.64615384615,20.7564,1800,1994,194,-1.8460473028182,3.2814443420237,4.46239815082829
"seats",43,85,215.44581673566,162.53680224957,166,195.248067994049,127.174134590149,15,656,641,1.05679801572147,0.179731609385543,17.6295914621898
"maj",44,85,0.388235294117647,0.490240894309911,0,0.36231884057971,0,0,1,1,0.450594098826025,-1.81793887773127,0.0531740908220382
"pres",45,85,0.388235294117647,0.490240894309911,0,0.36231884057971,0,0,1,1,0.450594098826025,-1.81793887773127,0.0531740908220382
"lyp",46,85,8.40560600056368,0.969462772123876,8.38936614990234,8.44712983698085,1.25258389434814,6.27329683303833,9.94188213348389,3.66858530044556,-0.238417224477165,-1.04104074902353,0.105153001497488
"semi",47,85,0.105882352941176,0.309513035796121,0,0.0144927536231884,0,0,1,1,2.51673386134654,4.38596248406484,0.0335714022780474
"majpar",48,85,0.24993464140331,0.422360127006148,0,0.191948471293933,0,0,1,1,1.11746870491397,-0.6944056778748,0.0458113878578947
"majpres",49,85,0.129411764793536,0.334146740898635,0,0.0434782609775446,0,0,1,1,2.16893802474082,2.75434303268961,0.0362433027408764
"propres",50,85,0.260130718876334,0.439975194792891,0,0.204508856586788,0,0,1,1,1.0795814623209,-0.840997612921772,0.0477220102176372
"dem_age",51,85,1958.34117647059,43.7369172115602,1978,1967,19.2738,1800,1994,194,-1.6480065351641,2.0485421221975,4.74393473714021
"lat01",52,78,0.315920086864095,0.1874589680662,0.282538890838623,0.310277952579781,0.200529893669486,0.00253333337605,0.709911108016968,0.707377774640918,0.265363106336647,-1.10118705849799,0.0212255484385803
"age",53,85,0.208294118612128,0.218684587842371,0.109999999403954,0.165000000023755,0.0963689964652061,0.0299999993294477,1,0.970000000670552,1.64800654152747,2.0485421046157,0.0237196738792649
"polityIV",54,80,7.17199903260916,3.64316840310324,8.11111068725586,7.9159536473453,2.80046729507446,-6,10,16,-1.61873998614739,2.19926885094373,0.40731861014091
"spl",55,74,-2.17699278800471,3.47923182817986,-1.68523252010345,-2.21744839685659,2.84763696503788,-11.3616895675659,12.5889797210693,23.9506692886353,0.883489755733816,3.84897798126201,0.40445248466825
"cpi9500",56,71,4.81230986286217,2.38224765702375,5.28999996185303,4.945657903688,2.46111577377319,0.268333405256271,8.25,7.98166659474373,-0.492876554868371,-1.12106103779544,0.282720782463107
"du_60ctry",57,85,0.705882352941177,0.458349248514106,1,0.753623188405797,0,0,1,1,-0.887795532651322,-1.22582698961938,0.049714956160501
"magn",58,84,0.469898216071583,0.395489758248253,0.25822702050209,0.459058786139769,0.307247904932499,0.00679010152816772,1,0.993209898471832,0.385119242412359,-1.64171356289288,0.0431514703274382
"sdm",59,77,0.354860679790765,0.385717527745907,0.156488701701164,0.321195091135682,0.147796690151095,0.00833330024033785,1,0.991666699759662,0.926698732509276,-0.952842372961873,0.04395659181251
"oecd.x",60,85,0.270588235294118,0.446900310981299,0,0.217391304347826,0,0,1,1,1.01460123073243,-0.981720397754019,0.0484731445302365
"mining_gdp",61,77,4.25610286263483,6.71677988577445,1.29396724700928,2.81844149435323,1.51281395975947,0.018437335267663,37.1982040405273,37.1797667052597,2.40648284689678,6.61041023921677,0.765448107735357
"gini_8090",62,72,39.2019568814172,10.4120488327901,37.5249996185303,38.7136361681182,12.23145,19.4899997711182,62.2999992370605,42.8099994659424,0.346534944646444,-0.797552620806038,1.22707172261856
"con2150",63,85,0.105882352941176,0.309513035796121,0,0.0144927536231884,0,0,1,1,2.51673386134654,4.38596248406484,0.0335714022780474
"con5180",64,85,0.294117647058824,0.458349248514106,0,0.246376811594203,0,0,1,1,0.887795532651322,-1.22582698961938,0.049714956160501
"con81",65,85,0.494117647058824,0.50293257646586,0,0.492753623188406,0,0,1,1,0.0231170103546551,-2.02285024543333,0.0545506970323277
"list",66,84,114.479399436996,129.554821583845,77.6666679382324,93.164094230708,115.148601885223,0,510.333343505859,510.333343505859,1.19408029026344,0.792427684396989,14.1355899179635
"maj_bad",67,85,1.0618463936974,1.59791779516675,0,0.773651361465454,0,0,4.88888883590698,4.88888883590698,1.23065491315295,0.0365606431500658,0.17331851943105
"maj_gin",68,72,16.4013889100816,20.9609236751846,0,13.8602586285821,0,0,62,62,0.631992073108012,-1.30052985540316,2.47026854510945
"maj_old",69,85,0.0841764712596641,0.185630919367882,0,0.0366666666299537,0,0,1,1,3.05277180505106,9.56959076122038,0.0201345001618863
"pres_bad",70,85,1.21094770712011,1.68859647533322,0,0.966183569120324,0,0,4.88888883590698,4.88888883590698,0.905796466999621,-0.811822951548928,0.183154003232502
"pres_gin",71,72,16.6629166073269,22.8997417830102,0,13.8306895946634,0,0,62,62,0.71387732472473,-1.32836231837362,2.69876045036457
"pres_old",72,85,0.061352941152804,0.163099422588431,0,0.0231884058456922,0,0,1,1,4.2571952460375,18.747767389279,0.0176906162060334
"propar",73,85,0.352941176470588,0.480720747393734,0,0.318840579710145,0,0,1,1,0.604628448058856,-1.65346335325574,0.0521414859075246
"lpop",74,60,15.8965761537905,1.91731046938551,15.9377162191603,15.949620143131,1.46781301469803,11.6103715896606,20.6324479844835,9.02207639482286,-0.164168658340576,-0.320092931301326,0.247523717247974
"continent*",75,85,3.03529411764706,1.06286964240715,3,3.15942028985507,1.4826,1,4,3,-0.715763105343447,-0.818864239892031,0.115284399064467
